STATE,ENTRSIZE,FIRM,ESTB,EMPL,PAYR,RCPT,Year
0,20,1,1,0,0,0.0,2012
0,26,1,4,0,0,0.0,2012
0,1,2177,2188,6115,341208,2953873.0,2012
0,2,2009,2009,1656,110172,1034425.0,2012
0,3,101,101,672,25768,186254.0,2012
0,4,16,16,193,9697,65643.0,2012
0,5,9,9,153,8061,0.0,2012
0,6,2135,2135,2674,153698,1356588.0,2012
0,7,5,5,106,5121,37601.0,2012
0,8,7,8,185,8490,64775.0,2012
0,9,6,7,0,0,0.0,2012
0,10,2,2,0,0,0.0,2012
0,11,2,2,0,0,0.0,2012
0,12,5,5,269,16406,127267.0,2012
0,13,2,2,0,0,0.0,2012
0,14,4,5,0,0,0.0,2012
0,15,3,8,337,34254,304776.0,2012
0,16,4,4,0,0,0.0,2012
0,19,2175,2183,5472,308296,2668867.0,2012
0,20,1,1,0,0,0.0,2012
0,26,1,4,0,0,0.0,2012
0,1,1224,1234,3959,248205,2208472.0,2012
0,2,1121,1121,0,67910,639601.0,2012
0,3,62,62,415,17337,137489.0,2012
0,4,9,9,100,4813,31829.0,2012
0,5,8,8,0,0,0.0,2012
0,6,1200,1200,1606,97348,872958.0,2012
0,7,2,2,0,0,0.0,2012
0,8,4,5,105,6570,55960.0,2012
0,9,2,2,0,0,0.0,2012
0,10,1,1,0,0,0.0,2012
0,11,2,2,0,0,0.0,2012
0,12,2,2,0,0,0.0,2012
0,13,1,1,0,0,0.0,2012
0,14,3,4,0,0,0.0,2012
0,15,3,8,337,34254,304776.0,2012
0,16,3,3,0,0,0.0,2012
0,19,1223,1230,3554,224633,1998740.0,2012
0,26,1,4,0,0,0.0,2012
0,1,911,912,2063,88794,712598.0,2012
0,2,851,851,662,41057,384273.0,2012
0,3,35,35,233,7042,39052.0,2012
0,4,7,7,0,4884,33814.0,2012
0,5,1,1,0,0,0.0,2012
0,6,894,894,1009,53756,463366.0,2012
0,7,3,3,0,0,0.0,2012
0,8,3,3,80,1920,8815.0,2012
0,9,4,5,138,5012,25533.0,2012
0,12,3,3,0,0,0.0,2012
0,13,1,1,0,0,0.0,2012
0,14,1,1,0,0,0.0,2012
0,16,1,1,0,0,0.0,2012
